,Company,TypeName,Ram,Weight,Price_euros,TouchScreen,IPS,PPI,Cpu_brand,HDD,SSD,Gpu brand,os
87,HP,Notebook,8,1.96,598.99,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
88,Asus,Gaming,16,2.2,1449.0,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
89,Dell,Ultrabook,8,1.21,1649.0,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
90,Asus,Gaming,8,2.45,699.0,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
91,Acer,Notebook,8,2.2,689.0,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
92,HP,Notebook,16,1.49,1197.0,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
93,Dell,Gaming,8,2.65,1195.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
94,Asus,Ultrabook,8,1.25,1049.0,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
95,Acer,2 in 1 Convertible,8,1.5,847.0,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
96,Dell,Notebook,8,2.2,599.9,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others/No OS/Linux
97,Dell,Notebook,4,2.2,485.0,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others/No OS/Linux
98,Asus,Notebook,6,2.0,577.0,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
99,HP,Gaming,12,2.62,1249.0,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
100,HP,Notebook,8,1.91,719.0,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
101,HP,Notebook,4,2.1,349.0,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
102,Dell,Notebook,8,2.2,647.0,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others/No OS/Linux
103,HP,Ultrabook,8,1.38,1119.0,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
104,Microsoft,Ultrabook,8,1.252,1340.0,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
105,HP,Notebook,6,1.58,659.0,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
106,Lenovo,Notebook,4,1.85,414.9,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
107,Asus,Ultrabook,8,1.3,1193.0,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
108,MSI,Gaming,16,2.2,1299.0,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
109,Lenovo,Notebook,8,1.58,1480.0,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
110,Asus,Ultrabook,16,1.5,1262.0,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
111,Dell,Ultrabook,8,1.23,1379.0,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,1399.0,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
113,HP,Notebook,4,1.63,722.0,0,1,111.93520355955211,Intel Core i5,500,0,Intel,Windows
114,Dell,Ultrabook,8,1.21,1629.0,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
115,HP,2 in 1 Convertible,8,1.26,1398.99,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
116,HP,Notebook,8,1.63,1084.0,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
117,Dell,Notebook,8,2.16,1130.33,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
118,Asus,Notebook,4,2.0,564.0,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
119,Asus,Notebook,8,1.7,1118.0,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
120,Acer,Notebook,6,2.1,479.0,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
121,MSI,Gaming,16,1.8,2241.5,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
122,Lenovo,Notebook,8,2.2,629.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
123,HP,Notebook,16,2.5,1271.0,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
124,Acer,Notebook,4,2.1,451.0,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
125,HP,Notebook,4,1.86,259.0,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Others/No OS/Linux
126,HP,Notebook,8,1.63,812.0,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
127,Asus,Notebook,4,1.65,277.99,0,0,111.93520355955211,AMD Processor,0,64,AMD,Windows
128,Dell,Notebook,16,2.8,1396.0,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
129,HP,Notebook,8,2.5,928.0,0,0,127.33567457123111,Intel Core i5,0,256,Intel,Windows
130,Dell,Notebook,8,2.36,638.99,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,Windows
131,Dell,Notebook,4,2.2,449.0,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Windows
132,Acer,Ultrabook,8,1.6,884.0,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
133,Acer,Notebook,4,2.2,572.0,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
134,HP,Notebook,8,2.05,598.0,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
135,HP,Notebook,8,1.63,988.0,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
136,Lenovo,Notebook,4,1.9,252.36,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
137,Asus,Gaming,8,3.0,938.0,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
138,Lenovo,Notebook,4,2.2,499.0,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
139,HP,Notebook,4,1.32,699.0,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
140,Acer,Notebook,4,3.0,655.0,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
141,Lenovo,Notebook,8,1.75,1116.02,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
142,Lenovo,Gaming,8,2.4,869.0,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
143,Toshiba,Notebook,4,2.1,602.0,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows
144,HP,Notebook,4,1.86,369.0,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
145,Asus,Ultrabook,8,1.25,1099.0,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
146,HP,Ultrabook,8,0.97,2014.0,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,Windows
147,Asus,Notebook,4,2.0,344.0,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,Windows
148,MSI,Gaming,16,2.9,2029.0,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
149,Acer,Notebook,4,2.1,447.0,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
150,Dell,Gaming,16,2.56,1249.26,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
151,Dell,Gaming,8,2.62,899.0,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
152,Lenovo,Notebook,4,1.9,498.0,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
153,MSI,Gaming,16,2.8,1890.0,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
154,HP,Ultrabook,4,1.48,1082.0,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
155,HP,Notebook,6,1.91,619.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
156,Lenovo,2 in 1 Convertible,4,1.74,629.0,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
157,Asus,2 in 1 Convertible,8,1.1,1315.0,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
158,Dell,2 in 1 Convertible,8,1.56,1049.0,1,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
159,Toshiba,Notebook,4,2.1,447.0,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
160,Asus,Notebook,4,2.03,403.0,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
161,Acer,Notebook,4,3.0,805.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
162,Dell,Notebook,8,2.13,728.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
163,Lenovo,Gaming,16,2.5,1079.0,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
164,Acer,Notebook,4,2.1,348.0,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows
165,MSI,Gaming,16,2.4,1799.0,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
166,Acer,Notebook,4,2.1,363.51,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows
167,Dell,Gaming,8,2.56,1060.49,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
168,Acer,Notebook,8,3.0,854.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
169,HP,Notebook,4,1.49,754.0,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
170,Huawei,Ultrabook,8,1.05,1349.0,0,1,199.69207064108247,Intel Core i5,0,256,Intel,Windows
171,HP,Notebook,6,2.71,699.0,0,1,127.33567457123111,Intel Core i5,2000,0,AMD,Windows
172,Lenovo,Notebook,4,2.2,309.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
173,Toshiba,Notebook,4,2.0,489.0,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
174,HP,Notebook,8,2.5,923.0,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
175,Dell,Notebook,8,2.3,459.0,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
176,Acer,Notebook,4,2.1,449.0,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
177,MSI,Gaming,32,4.4,2799.0,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,Windows
178,Lenovo,Notebook,8,1.9,813.0,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
179,HP,2 in 1 Convertible,8,1.29,1499.0,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows
180,Dell,Notebook,16,2.02,1049.0,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Others/No OS/Linux
181,Dell,Ultrabook,8,1.23,1399.0,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
182,Lenovo,2 in 1 Convertible,16,1.4,1849.0,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
183,Toshiba,Notebook,8,2.0,793.0,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
184,Xiaomi,Notebook,8,1.95,1199.0,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
185,Dell,Notebook,16,2.77,1549.0,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
186,Dell,Notebook,16,2.06,2397.0,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows
187,Lenovo,Gaming,8,2.4,779.0,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
188,Acer,Ultrabook,8,1.12,989.0,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
189,Dell,Notebook,8,2.8,1085.0,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Windows
190,Lenovo,2 in 1 Convertible,16,1.42,2824.0,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,Windows
191,Vero,Notebook,4,1.3,260.0,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
192,Xiaomi,Ultrabook,8,1.3,999.9,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
193,Lenovo,Notebook,8,2.8,698.0,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
194,Dell,2 in 1 Convertible,8,1.62,839.0,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
195,HP,Notebook,8,2.5,914.0,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
196,Razer,Gaming,32,3.49,6099.0,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,Windows
197,HP,Notebook,8,1.49,959.0,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
198,HP,Gaming,16,3.35,1379.0,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
199,HP,Notebook,8,2.5,1045.0,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
200,Dell,Gaming,16,2.65,1845.0,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
201,Lenovo,Notebook,4,2.1,493.0,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
202,Acer,Notebook,8,2.23,742.0,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
203,Lenovo,Gaming,16,3.2,1749.0,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
204,Dell,Workstation,16,2.8,3055.0,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
205,Lenovo,Gaming,16,2.4,1398.0,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
206,Dell,Notebook,6,2.3,439.0,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
207,Dell,Ultrabook,8,1.21,1949.0,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
208,Dell,Ultrabook,8,1.2,1449.0,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
209,Lenovo,Notebook,8,2.2,597.0,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
210,Acer,Notebook,8,2.4,779.0,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
211,Asus,Gaming,16,2.9,1407.0,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
212,HP,Notebook,4,2.1,349.0,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
213,Lenovo,Notebook,8,2.2,549.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
214,Huawei,Ultrabook,8,1.05,1499.0,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
215,Dell,Ultrabook,8,1.4,931.88,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
216,Lenovo,Notebook,8,2.8,589.0,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
217,HP,Notebook,8,1.63,1031.0,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
218,Dell,Ultrabook,8,1.6,1149.0,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
219,Dell,2 in 1 Convertible,16,1.62,1279.0,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
220,Dell,Notebook,8,2.2,677.35,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others/No OS/Linux
221,Lenovo,2 in 1 Convertible,8,1.74,899.0,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
222,Toshiba,Ultrabook,8,1.2,1363.0,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
223,HP,Notebook,8,2.1,794.0,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
224,Dell,Gaming,16,4.42,2456.34,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
225,Acer,Notebook,8,2.2,832.0,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
226,Dell,Notebook,16,2.3,859.01,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
227,Asus,Notebook,8,2.0,769.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
228,Asus,Notebook,8,2.69,891.0,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia,Windows
229,HP,Notebook,8,1.9,1269.0,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
230,Asus,Notebook,4,2.37,398.99,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
231,HP,Notebook,4,2.1,330.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
232,Lenovo,Gaming,16,3.2,1499.0,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
233,Dell,Notebook,8,1.6,859.0,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
234,Acer,2 in 1 Convertible,8,1.6,689.0,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
235,Dell,Notebook,16,2.36,899.0,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux
236,Acer,Notebook,4,2.1,390.0,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
237,Asus,Notebook,4,2.2,575.0,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
238,Asus,Gaming,32,4.7,3890.0,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
239,Acer,Gaming,8,2.5,846.0,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
240,Lenovo,Notebook,8,2.2,589.0,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
241,Asus,Notebook,8,2.1,1145.0,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows
242,Asus,Notebook,8,2.69,889.0,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Others/No OS/Linux
243,Dell,Gaming,8,2.56,879.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
244,Lenovo,2 in 1 Convertible,8,1.38,1079.0,1,1,158.48253022174808,Intel Core i7,0,256,Intel,Windows
